Region,Affordability_2000,Affordability_2026,Pct_Change
North West,1.4107372781727594,2.973689141082948,110.78971875859006
Wales,1.4629597248936297,2.977986367191865,103.55901235821044
Yorkshire and The Humber,1.5025995543621096,3.049156437419427,102.92541872301224
London,1.1113865476780695,1.919826128954359,72.74153020524652
South East,1.5006002400960383,2.458544881574669,63.837430908135964
