Region,Target,Model,RMSE,MAE,MAPE
London,HPI,Single-task LSTM (multivariate),2.9957624135993055,2.608124079134151,2.649223953458499
North West,HPI,Single-task LSTM (multivariate),5.517797535152551,5.238971901458239,4.853105050138376
South East,HPI,Single-task LSTM (multivariate),3.5602824690090964,3.1294043577235784,3.190771297752342
Wales,HPI,Single-task LSTM (multivariate),1.2024109444269693,0.9846495503964584,0.9572884732056681
Yorkshire and The Humber,HPI,Single-task LSTM (multivariate),1.528568721605172,0.9685002347697386,0.9232766205118764
