Region,Target,Model,RMSE,MAE,MAPE
London,HPI,Single-task LSTM,1.528287495115365,1.3592388650645355,1.392440362933192
North West,HPI,Single-task LSTM,3.229664214962384,3.0561756963315214,2.8437815524552827
South East,HPI,Single-task LSTM,1.732882065082899,1.5248320206351895,1.5527522822801205
Wales,HPI,Single-task LSTM,3.127576554234032,3.010242362644361,2.8963389649765374
Yorkshire and The Humber,HPI,Single-task LSTM,2.8363192512754,2.6408184549082927,2.479068046789809
